order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
bedc3368f710f029c182d61721aff3fa,d3239ca2c7cc7e9a9da2174408470d1d,delivered,2023-04-26 05:11:00,2023-04-26 05:11:00,2023-04-27 05:11:00,2023-04-29 05:11:00,2023-05-05 05:11:00
a21dad6b4dc75c23f3b2fe8ac4f5fd9b,52e1d11bc898515acdbf9593a31d5c9c,delivered,2023-02-26 23:11:37,2023-02-28 23:11:37,2023-03-01 23:11:37,2023-03-08 23:11:37,2023-03-07 23:11:37
aad2f66d9f3ae3ec7c1a84a71375dfca,75e4fae73bd333921eaa9c80797fed7f,processing,2023-11-06 07:03:08,2023-11-09 07:03:08,2023-11-14 07:03:08,,2023-11-16 07:03:08
50a3660ca3d751bc059cea56b19e560e,4c5b1c0da2579e1d26f46dcac1b0f269,delivered,2023-05-08 05:53:07,2023-05-11 05:53:07,2023-05-13 05:53:07,2023-05-18 05:53:07,2023-05-16 05:53:07
1b93585270246209a1b14f9c6f68a698,2c3aeb11947e2aea4be98f76dcc80fd7,delivered,2023-08-07 12:01:01,2023-08-07 12:01:01,2023-08-10 12:01:01,2023-08-12 12:01:01,2023-08-16 12:01:01
327719c2aa0fbf8785defaeb411c53fa,2fd1d7f9d4bb359e9290f07c087cd738,delivered,2023-06-10 06:37:49,2023-06-10 06:37:49,2023-06-15 06:37:49,2023-06-21 06:37:49,2023-06-16 06:37:49
ca21011dc76f97e7b06864a6699ee1d6,411fad4be42cecc9aabaf4660b93b38c,delivered,2023-03-27 20:28:28,2023-03-30 20:28:28,2023-03-31 20:28:28,2023-04-05 20:28:28,2023-04-06 20:28:28
5b0d065b70bf99f71aa2b33b9b252263,66547dc986629cfe9148566790429b0e,delivered,2023-04-27 15:12:17,2023-04-27 15:12:17,2023-04-29 15:12:17,2023-04-30 15:12:17,2023-05-01 15:12:17
4fd9e98956e66454eeb441e96e9c3bd4,f1f2f416b598694b0e8bba51a55db446,delivered,2023-08-14 02:39:01,2023-08-16 02:39:01,2023-08-21 02:39:01,2023-08-23 02:39:01,2023-08-23 02:39:01
73ee48aa8205697efa8c8d4310e92b17,876b4dd1e37960d23c5eb40f1b7cba7c,shipped,2023-12-28 23:20:40,2023-12-29 23:20:40,2023-12-31 23:20:40,,2024-01-04 23:20:40
05e83ac579d230464e299d2b521b7dd8,aa460cc0ea904c4fa66547ad618ad5a9,delivered,2023-11-21 19:44:20,2023-11-24 19:44:20,2023-11-25 19:44:20,2023-11-28 19:44:20,2023-11-27 19:44:20
939adf86ce9f4544561385e42d2a2d37,3f50edac24db2b7014d8b814406c71e9,delivered,2023-10-19 12:32:47,2023-10-22 12:32:47,2023-10-23 12:32:47,2023-10-30 12:32:47,2023-10-28 12:32:47
26a03798bc6dd0cfabe94cf2c1a7e14f,68bc22680dd487004fd7ae67b314f1b9,shipped,2023-01-07 02:20:03,2023-01-07 02:20:03,2023-01-11 02:20:03,,2023-01-11 02:20:03
4d03cdf2d9462cbcc32f93226f3e3347,e71ad5518edbeac8132c085c8914fb8c,invoiced,2023-10-23 10:31:19,2023-10-23 10:31:19,2023-10-25 10:31:19,,2023-10-27 10:31:19
