order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
bedc3368f710f029c182d61721aff3fa,1,5844c2b0928856640103ad36de7466d1,41409a8620cbd39bdaed50a9e4843257,2023-04-30 05:11:00,248.81,17.53
bedc3368f710f029c182d61721aff3fa,2,579f1970b2742d8d5225cc605c8c7742,326f1998d4194ab19b0dabc584b6c3f4,2023-04-27 05:11:00,381.93,46.11
bedc3368f710f029c182d61721aff3fa,3,21755f77ba249c1ad8499f622f597cee,bb76ce79caf110000407bf15afb54a40,2023-05-03 05:11:00,480.61,12.69
a21dad6b4dc75c23f3b2fe8ac4f5fd9b,1,8358195bb7b1800f538c9386f89ec4f4,ee129a7f541c268322b00c1a90e2edc3,2023-02-27 23:11:37,303.29,20.11
a21dad6b4dc75c23f3b2fe8ac4f5fd9b,2,eb752e663ca094cf1af78629e8b2d597,b42e16604f396d284e01d4717fe717e9,2023-03-05 23:11:37,150.49,32.64
aad2f66d9f3ae3ec7c1a84a71375dfca,1,eb752e663ca094cf1af78629e8b2d597,85ca0c7ab809390b95e238eb48823955,2023-11-11 07:03:08,156.1,20.23
aad2f66d9f3ae3ec7c1a84a71375dfca,2,4815d02e4421150340961c7ebc248ca8,8f084cc3803a38569e43d16a7f63422a,2023-11-11 07:03:08,371.0,35.35
aad2f66d9f3ae3ec7c1a84a71375dfca,3,af242d9b5fbd1bac3a92b701f1465554,dfd1d98127fb590d54d4d04f24625618,2023-11-08 07:03:08,293.07,10.98
50a3660ca3d751bc059cea56b19e560e,1,8585dde7ce6be186544c4a76fa93360a,6def88948fbac75d5e8d356c1a7de30c,2023-05-13 05:53:07,477.11,8.27
50a3660ca3d751bc059cea56b19e560e,2,fbd781148fcd9eaf898c3f697e64e154,970e3b7c6567be1435f72da9cdf5c1e1,2023-05-11 05:53:07,25.75,40.99
50a3660ca3d751bc059cea56b19e560e,3,2581770907152b826f1cb25ec8eba96c,1440f5bde9d5145e23c34d88dc89b484,2023-05-12 05:53:07,315.95,42.48
1b93585270246209a1b14f9c6f68a698,1,a3b4319e67ea5e417af562371d4618cc,9948d2853cd39f1bf471d37223134996,2023-08-08 12:01:01,461.52,33.47
327719c2aa0fbf8785defaeb411c53fa,1,dfe1dc3cc69f09082a76ea238f395aea,9c144b722f1d855b8aa65d0499e0b211,2023-06-15 06:37:49,332.28,34.2
ca21011dc76f97e7b06864a6699ee1d6,1,579f1970b2742d8d5225cc605c8c7742,dfd1d98127fb590d54d4d04f24625618,2023-03-29 20:28:28,300.12,30.31
5b0d065b70bf99f71aa2b33b9b252263,1,d40d6407ad68eeb78e1daee9d138f28b,53221911721cb9b61af89e3702310d42,2023-04-28 15:12:17,189.01,47.3
5b0d065b70bf99f71aa2b33b9b252263,2,1b7baece39b09658a7ecc1c414caa250,ca6f8a24541d8461f1e43fed9eeaf0f5,2023-05-02 15:12:17,290.46,19.51
4fd9e98956e66454eeb441e96e9c3bd4,1,6c9612b15f8f8860cf0786bf2d29f7c0,35974a03e4480f766fc4d868fca490f3,2023-08-17 02:39:01,431.33,48.59
4fd9e98956e66454eeb441e96e9c3bd4,2,848c2d49060609043555886932435a5d,dfd1d98127fb590d54d4d04f24625618,2023-08-17 02:39:01,334.64,29.24
4fd9e98956e66454eeb441e96e9c3bd4,3,1b7baece39b09658a7ecc1c414caa250,e9a971758a444485ee954d8646ace2c4,2023-08-15 02:39:01,82.43,46.63
73ee48aa8205697efa8c8d4310e92b17,1,d9a372d759ecd34c719c20b8d86abd02,a413f8583a1af02b4aa6e321e4881fdd,2024-01-03 23:20:40,382.99,26.21
05e83ac579d230464e299d2b521b7dd8,1,b890314c4c9aaf9569e5d5c8768b1e3d,a6868ff59bbc8687c395496655306a2d,2023-11-27 19:44:20,45.69,42.19
05e83ac579d230464e299d2b521b7dd8,2,54fa0b20b53deb1201275c9d026ce113,7cb2e30dc80802022dd943213ac1607c,2023-11-23 19:44:20,20.86,15.83
939adf86ce9f4544561385e42d2a2d37,1,dfe1dc3cc69f09082a76ea238f395aea,85ca0c7ab809390b95e238eb48823955,2023-10-22 12:32:47,404.2,2.3
26a03798bc6dd0cfabe94cf2c1a7e14f,1,661e8aa8c760145c4e38eaa18076cda3,07d835ab88ef996fc7b88c056ac7eee9,2023-01-08 02:20:03,241.05,8.92
26a03798bc6dd0cfabe94cf2c1a7e14f,2,6c9612b15f8f8860cf0786bf2d29f7c0,7245f98daf91bb3c4c6d0420ac17e2a8,2023-01-10 02:20:03,267.87,28.46
4d03cdf2d9462cbcc32f93226f3e3347,1,b726da9581dbdeef9e1c0ea4f3712e5e,dfd1d98127fb590d54d4d04f24625618,2023-10-29 10:31:19,471.42,35.97
4d03cdf2d9462cbcc32f93226f3e3347,2,af242d9b5fbd1bac3a92b701f1465554,f72185b65127e15e6d270f13e7f96d49,2023-10-25 10:31:19,198.05,8.83
1ba67e0d279c5e0450f239cd204ec087,1,848c2d49060609043555886932435a5d,e9a971758a444485ee954d8646ace2c4,2023-01-10 06:26:23,405.34,15.59
1ba67e0d279c5e0450f239cd204ec087,2,9eee415c95f96d2d37f25bf46e4ffa93,cba43037777e760fee4076a69587ed75,2023-01-16 06:26:23,53.37,18.67
1ba67e0d279c5e0450f239cd204ec087,3,0b905fe68bc18aeff59ef5c3592510f9,311b7b69684e7c8579d95b9b6c356343,2023-01-11 06:26:23,253.96,30.83
fccce0722c4e0dbe4e7c1eab541c9de0,1,4694802e0509ba8f9b842e5b8aa4787c,b01e74d4e348310acff28fe3c3b11d21,2024-01-01 02:14:52,379.49,42.1
fccce0722c4e0dbe4e7c1eab541c9de0,2,0030eb32b7d2e3b0c215043ad5c3d75e,fa60ca2921625064f837b6f2f0f15743,2024-01-02 02:14:52,418.27,14.06
fccce0722c4e0dbe4e7c1eab541c9de0,3,0b905fe68bc18aeff59ef5c3592510f9,03ccff171cc71a41c563fbe9fcf258b3,2023-12-31 02:14:52,251.31,36.32
588e2aa5d129c9b6c448bf7a7c122108,1,33952c2b92bdc5bf5ea332ac7b389057,6def88948fbac75d5e8d356c1a7de30c,2023-02-10 12:15:22,474.02,32.37
588e2aa5d129c9b6c448bf7a7c122108,2,e6ec4daa07a2ad08ced377965371ea0c,fc556c18c33acb1f3ae7c6a30705fea6,2023-02-06 12:15:22,444.31,44.5
588e2aa5d129c9b6c448bf7a7c122108,3,d19a43532ffff2508343dc31dd865b57,cba43037777e760fee4076a69587ed75,2023-02-06 12:15:22,439.49,32.51
f0bf8cb0ef1dd7bce9599459be112efb,1,5a19ba0a75b6b511a0d8cc356b284507,fc6042aa6124bcd5f176353d5efc8953,2023-08-24 10:08:20,29.51,27.01
f0bf8cb0ef1dd7bce9599459be112efb,2,3cc02d5cecd26b065930ba2224fc6eb7,fa60ca2921625064f837b6f2f0f15743,2023-08-20 10:08:20,346.68,23.44
3820d212aa4e6feb083f47e088895402,1,9a1df1b50a8ff8057ad33a1a89e17708,9948d2853cd39f1bf471d37223134996,2023-06-29 09:08:44,178.0,28.22
3820d212aa4e6feb083f47e088895402,2,3139dd0f60a1a1b062a39762b3407742,8f084cc3803a38569e43d16a7f63422a,2023-06-27 09:08:44,160.42,28.81
d96859d3a79e6a3f9532e7c2526e51c2,1,f1c098c4dde69faa39ad684661340743,bb76ce79caf110000407bf15afb54a40,2023-06-20 00:45:43,175.28,22.43
d96859d3a79e6a3f9532e7c2526e51c2,2,e6ec4daa07a2ad08ced377965371ea0c,8121f36d81d0012c14f656b463697907,2023-06-15 00:45:43,159.0,12.12
d96859d3a79e6a3f9532e7c2526e51c2,3,1decc55e1dc629cd4edd2c0a89e6f1f6,1a20fbba23f9abd0132bcd56aa73a35d,2023-06-15 00:45:43,343.27,8.57
a9e241efc325cb667b26dbaf06548a81,1,f7e86c81421b9429ab6236b5b834c1dd,025ad37be12bf975b08ba1748614f56e,2023-07-28 06:14:54,448.93,21.72
31ac048db2d1d1dc54aeb8d88f40c158,1,a3b4319e67ea5e417af562371d4618cc,fc6042aa6124bcd5f176353d5efc8953,2023-10-12 15:48:36,131.99,4.7
31ac048db2d1d1dc54aeb8d88f40c158,2,33952c2b92bdc5bf5ea332ac7b389057,e9a971758a444485ee954d8646ace2c4,2023-10-08 15:48:36,372.43,45.16
0442d0c2ee7a7d8cfa4dbc162429b621,1,e598e32cc1c6cd82e489fe88953bb582,7245f98daf91bb3c4c6d0420ac17e2a8,2023-10-18 15:41:20,113.93,25.76
0442d0c2ee7a7d8cfa4dbc162429b621,2,0182c20898ad3a2447432b816f59302a,25af393d77081c9179ef47cc42d03a5d,2023-10-12 15:41:20,408.9,7.8
0442d0c2ee7a7d8cfa4dbc162429b621,3,3139dd0f60a1a1b062a39762b3407742,ee129a7f541c268322b00c1a90e2edc3,2023-10-12 15:41:20,380.25,12.39
241498c1bfe9dd1d7d69f4b12b180e60,1,e6ec4daa07a2ad08ced377965371ea0c,7a6b525f65e9b0cf67f2e39feb6cabc5,2023-08-30 12:52:24,274.31,41.25
241498c1bfe9dd1d7d69f4b12b180e60,2,ec30d81818148d07d2cb1276a1c7af50,602dce787b6ea09b7e424512d370ccec,2023-08-30 12:52:24,411.77,3.97
b200eb836d0a52383be826c2cc0786dc,1,0030eb32b7d2e3b0c215043ad5c3d75e,7245f98daf91bb3c4c6d0420ac17e2a8,2023-04-02 19:12:06,367.24,46.31
